1967	1042
1586	382
1142	671
671	763
1402	838
838	1126
1041	527
527	1630
1630	398
566	1042
1258	1495
1495	811
1517	545
1042	697
1271	1866
667	1271
545	913
553	1415
1163	1517
1041	1640
868	1042
1517	400
177	1495
115	1317
791	1613
1613	528
1085	148
148	1470
578	57
47	1415
1415	1517
1517	47
1517	1042
1042	1104
868	315
566	1183
545	1719
616	1102
494	1024
1041	108
1042	1482
1916	1748
1710	541
541	1517
1517	413
413	1041
1042	1363
527	1041
669	868
868	81
81	1603
1603	868
1024	1586
747	656
1363	1450
1450	462
100	22
22	463
463	987
1590	420
420	1042
